candidate_id,file_path,source_path,width,height,top_margin,bottom_margin,left_margin,right_margin,cutoff_risk,source_already_clipped,looks_like_gear3,wrong_form_reason,review_status,reject_reason,notes
ruffy_gear3_reextract_v2_0001,assets/review/candidates/ruffy_gear3_reextract_v2/ruffy_gear3_reextract_v2_0001.png,assets/source/pet1_ruffy_gear3_source_v2.png,269,450,48,48,48,48,false,false,unclear,,approved,,approved for ruffy gear3 source_approved
ruffy_gear3_reextract_v2_0002,assets/review/candidates/ruffy_gear3_reextract_v2/ruffy_gear3_reextract_v2_0002.png,assets/source/pet1_ruffy_gear3_source_v2.png,311,451,48,48,48,48,false,false,unclear,,approved,,approved for ruffy gear3 source_approved
ruffy_gear3_reextract_v2_0003,assets/review/candidates/ruffy_gear3_reextract_v2/ruffy_gear3_reextract_v2_0003.png,assets/source/pet1_ruffy_gear3_source_v2.png,324,442,48,48,23,48,false,false,true,,approved,,approved for ruffy gear3 source_approved
ruffy_gear3_reextract_v2_0004,assets/review/candidates/ruffy_gear3_reextract_v2/ruffy_gear3_reextract_v2_0004.png,assets/source/pet1_ruffy_gear3_source_v2.png,381,444,48,48,39,48,false,false,true,,approved,,approved for ruffy gear3 source_approved
ruffy_gear3_reextract_v2_0005,assets/review/candidates/ruffy_gear3_reextract_v2/ruffy_gear3_reextract_v2_0005.png,assets/source/pet1_ruffy_gear3_source_v2.png,346,427,44,48,44,48,false,false,true,,rejected,bad_anatomy_six_fingers,open palm guard rejected after visual review; hand has wrong finger count
ruffy_gear3_reextract_v2_0006,assets/review/candidates/ruffy_gear3_reextract_v2/ruffy_gear3_reextract_v2_0006.png,assets/source/pet1_ruffy_gear3_source_v2.png,350,425,47,48,44,48,false,false,true,,rejected,missing_sandal_visual_review,giant foot stomp rejected after visual review; sandal missing on enlarged foot
ruffy_gear3_reextract_v2_0007,assets/review/candidates/ruffy_gear3_reextract_v2/ruffy_gear3_reextract_v2_0007.png,assets/source/pet1_ruffy_gear3_source_v2.png,256,430,45,48,48,48,false,false,unclear,,approved,,approved for ruffy gear3 source_approved
ruffy_gear3_reextract_v2_0008,assets/review/candidates/ruffy_gear3_reextract_v2/ruffy_gear3_reextract_v2_0008.png,assets/source/pet1_ruffy_gear3_source_v2.png,313,436,48,48,42,48,false,false,true,,rejected,bad_fist_visual_review,victory pose rejected after visual review; fist does not look correct
